sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators,normalized_prey
390,761,0.6775,0.181625,0.425,569.1,25.3144,44.7,20.5061,0.747832
391,312,0.81225,0.117375,0.4095,312,0,0,0,1
392,372,0.669,0.07675,0.4205,235.4,24.0416,53,2.82843,0.632796
393,439,0.8735,0.2475,0.63575,439,0,0,0,1
394,753,0.67075,0.098875,0.52575,226.9,47.0933,88.9,7.21249,0.301328
395,474,0.88125,0.209,0.31775,474,0,0,0,1
396,791,0.8005,0.05825,0.42825,165.4,55.1543,93.4,23.4759,0.209102
397,539,0.62325,0.170125,0.3305,539,0,0,0,1
398,401,0.62825,0.191625,0.6465,398.8,3.11127,2.5,3.53553,0.994514
399,589,0.53425,0.200125,0.2645,589,0,0,0,1
400,205,0.8505,0.001125,0.7415,0,0,191.9,1.55563,0
401,733,0.88775,0.12925,0.62625,420.3,22.2032,56.3,0.141421,0.573397
402,514,0.66125,0.035625,0.4485,80.5,45.3963,48.4,2.82843,0.156615
403,486,0.76375,0.11125,0.74075,205.4,88.2469,83.4,63.6396,0.422634
404,680,0.6605,0.044625,0.64325,3.6,5.09117,5.1,7.21249,0.00529412
405,403,0.9885,0.199125,0.2945,403,0,0,0,1
406,210,0.6325,0.17075,0.46375,210,0,0,0,1
407,532,0.59075,0.23125,0.53775,515.6,23.1931,7.1,10.0409,0.969173
408,518,0.8075,0.061375,0.2615,369.7,26.163,44.1,10.8894,0.713707
409,697,0.83575,0.112625,0.511,319.1,126.855,59.6,15.8392,0.457819
410,727,0.90525,0.201,0.64375,727,0,0,0,1
411,264,0.57925,0.0015,0.62375,0,0,242.7,3.53553,0
412,731,0.87775,0.214,0.69375,541.6,67.5994,24.6,3.67696,0.740903
413,554,0.67325,0.055,0.43775,121.9,43.1335,84.9,15.1321,0.220036
414,200,0.5695,0.141,0.29075,200,0,0,0,1
415,331,0.66825,0.019875,0.273,73.6,2.26274,79,6.78823,0.222356
416,497,0.621,0.113125,0.5935,309,30.2642,61.7,20.5061,0.62173
417,637,0.588,0.203875,0.5115,531.8,96.7322,35.5,30.6884,0.834851
418,666,0.867,0.23625,0.5455,666,0,0,0,1
419,564,0.61875,0.249625,0.50375,564,0,0,0,1
420,694,0.53125,0.05275,0.536,103.7,100.833,84,27.4357,0.149424
421,657,0.52125,0.162125,0.39425,501.9,34.6482,48.3,0.141421,0.763927
422,488,0.68625,0.19275,0.67,416.8,9.89949,28.4,5.9397,0.854098
423,380,0.7905,0.035125,0.739,0,0,0.9,0.989949,0
424,480,0.9445,0.118375,0.50575,396.7,24.4659,20.5,8.90955,0.826458
425,747,0.7215,0.215375,0.49875,698.6,18.3848,8.3,2.40416,0.935207
426,684,0.5945,0.1705,0.7005,352.2,39.598,110,17.2534,0.514912
427,399,0.58,0.201125,0.71975,394.3,6.6468,1.3,1.83848,0.988221
428,758,0.662,0.10325,0.40525,366.6,78.0646,91.7,44.5477,0.483641
429,768,0.92225,0.14025,0.352,679.1,20.7889,12.6,0.282843,0.884245
430,720,0.9155,0.19475,0.67475,669.3,34.6482,13.4,5.9397,0.929583
431,565,0.667,0.0745,0.5285,267.4,55.1543,67.7,16.2635,0.473274
432,288,0.842,0.074875,0.40325,274.3,17.9605,7.9,10.6066,0.952431
433,274,0.927,0.135625,0.4,274,0,0,0,1
434,403,0.89825,0.10525,0.461,373.2,7.9196,9.3,4.38406,0.926055
435,710,0.9215,0.0445,0.59025,233.9,85.8428,27.1,17.3948,0.329437
436,556,0.9735,0.151375,0.30575,556,0,0,0,1
437,347,0.58275,0.037875,0.46425,82.7,21.9203,85.3,1.55563,0.238329
438,598,0.78875,0.07725,0.54075,260.3,18.809,74.2,12.1622,0.435284
439,210,0.87,0.064875,0.33975,210,0,0,0,1
440,483,0.85675,0.23275,0.404,483,0,0,0,1
441,565,0.95475,0.01175,0.2785,0.6,0.848528,7.8,9.05097,0.00106195
442,353,0.74575,0.10975,0.5205,301.3,10.3238,21.9,2.12132,0.853541
443,723,0.85875,0.13075,0.61875,399.4,28.5671,60.4,14.9907,0.55242
444,543,0.80425,0.06275,0.44025,246.2,37.3352,72.9,8.90955,0.453407
445,686,0.6295,0.04575,0.3445,149.1,16.8291,127.1,8.90955,0.217347
446,545,0.65375,0.03575,0.30225,121.4,34.224,115.6,10.748,0.222752
447,734,0.7065,0.15275,0.26325,734,0,0,0,1
448,340,0.938,0.087875,0.69775,219.6,14.9907,41.7,11.1723,0.645882
449,737,0.9635,0.12725,0.7405,577.6,82.0244,21.9,5.79828,0.783718
450,510,0.74875,0.085125,0.3685,311.2,26.8701,54.9,10.3238,0.610196
451,776,0.5775,0.194625,0.594,652.5,90.3682,26.8,2.26274,0.840851
452,437,0.8935,0.14975,0.4475,437,0,0,0,1
453,421,0.55425,0.11875,0.67725,260.2,25.173,65.9,1.55563,0.618052
454,446,0.7815,0.148875,0.66625,348.4,76.6504,40.1,41.4365,0.781166
455,276,0.80675,0.19625,0.6,276,0,0,0,1
456,221,0.89025,0.199875,0.676,221,0,0,0,1
457,663,0.56875,0.248125,0.49975,640.8,31.3955,5.9,8.34386,0.966516
458,348,0.6835,0.153875,0.3645,348,0,0,0,1
459,255,0.89275,0.218375,0.6955,255,0,0,0,1
460,635,0.94975,0.006375,0.54925,0,0,20.2,0.848528,0
461,485,0.6285,0.088,0.64525,231.9,85.8428,90.8,37.0524,0.478144
462,543,0.96525,0.173375,0.508,543,0,0,0,1
463,613,0.9815,0.137875,0.57275,474.2,110.874,28.8,24.6073,0.773573
464,784,0.537,0.061625,0.50425,191,28.5671,94.5,40.8708,0.243622
465,336,0.87325,0.049375,0.44475,148.6,29.9813,57.1,10.8894,0.442262
466,278,0.61175,0.195,0.28025,278,0,0,0,1
467,473,0.94025,0.184,0.63925,473,0,0,0,1
468,305,0.93925,0.1405,0.571,305,0,0,0,1
469,403,0.647,0.0725,0.485,183.7,8.90955,86.6,8.76812,0.455831
470,503,0.76,0.041625,0.2735,219.7,14.8492,81.9,8.06102,0.436779
471,371,0.54925,0.013125,0.45025,0,0,1.1,0.424264,0
472,537,0.88575,0.07925,0.57125,325.9,36.0624,58,18.1019,0.60689
473,670,0.74225,0.231125,0.73075,573.9,33.5169,23.1,2.96985,0.856567
474,782,0.77425,0.19725,0.67025,553.1,134.775,43.6,23.7588,0.707289
475,301,0.729,0.0495,0.73875,45.4,38.7495,29.8,11.0309,0.150831
476,261,0.9425,0.2145,0.59725,261,0,0,0,1
477,356,0.5725,0.2445,0.52475,356,0,0,0,1
478,426,0.79125,0.233875,0.57625,426,0,0,0,1
479,569,0.76125,0.2405,0.29975,569,0,0,0,1
480,662,0.52325,0.09625,0.65675,349.3,201.525,118.2,115.4,0.527644
481,286,0.5755,0.00225,0.73225,0,0,210.6,2.26274,0
482,575,0.8245,0.145,0.43375,523.8,63.9225,15.8,20.0818,0.910957
483,362,0.507,0.185875,0.61725,362,0,0,0,1
484,555,0.86875,0.192,0.6245,495.9,0.424264,13.6,6.78823,0.893514
485,672,0.9915,0.08625,0.63725,242.3,84.9942,62.6,14.9907,0.360565
486,669,0.5255,0.1465,0.261,647.9,29.8399,6.4,9.05097,0.96846
487,214,0.7735,0.0045,0.35625,0,0,31.4,2.26274,0
488,773,0.95625,0.164125,0.60875,585.9,140.997,33.8,17.2534,0.757956
489,496,0.61975,0.106125,0.5915,171.9,55.0129,98.9,20.5061,0.346573
490,696,0.59325,0.133125,0.5525,292.1,28.9914,87.2,14.425,0.419684
491,652,0.692,0.133875,0.38475,430.1,17.6777,63.8,13.0108,0.659663
492,513,0.88975,0.22575,0.681,513,0,0,0,1
493,616,0.78475,0.1315,0.35,563.6,40.1637,12.6,10.4652,0.914935
494,701,0.761,0.235875,0.40475,701,0,0,0,1
495,633,0.92125,0.05875,0.30975,263.8,8.48528,70.7,1.27279,0.416746
496,321,0.83975,0.148375,0.53325,321,0,0,0,1
497,626,0.70975,0.216125,0.42625,626,0,0,0,1
498,792,0.90775,0.177625,0.295,792,0,0,0,1
499,397,0.6125,0.1345,0.35275,397,0,0,0,1
500,776,0.86725,0.1955,0.6995,695.5,113.844,27,38.1838,0.896263
501,623,0.85175,0.23975,0.42975,623,0,0,0,1
502,748,0.9265,0.179125,0.42525,690.6,81.1759,13.2,18.6676,0.923262
503,654,0.5435,0.08675,0.27775,305.7,49.3561,99.1,11.4551,0.467431
504,300,0.629,0.14425,0.3195,300,0,0,0,1
505,767,0.5915,0.24375,0.72325,588.2,0.848528,38.9,8.34386,0.766884
506,346,0.94825,0.119125,0.46675,346,0,0,0,1
507,570,0.5005,0.1015,0.493,240.2,41.0122,111.6,0,0.421404
508,453,0.92475,0.220875,0.4895,453,0,0,0,1
509,651,0.9655,0.149125,0.745,411.8,50.6288,50.2,1.9799,0.632565
510,508,0.758,0.061,0.27525,271.3,30.6884,63.2,0.282843,0.534055
511,587,0.69475,0.174,0.44425,563.8,15.5563,10.9,4.6669,0.960477
512,579,0.5105,0.0475,0.65125,1.5,2.12132,10.8,15.2735,0.00259067
513,691,0.852,0.131,0.72625,502.2,3.39411,50.1,19.9404,0.726773
514,790,0.50275,0.09,0.37,314.3,144.957,103,8.20244,0.397848
515,423,0.8995,0.20525,0.3265,423,0,0,0,1
516,294,0.5935,0.2355,0.5025,294,0,0,0,1
517,759,0.947,0.153625,0.476,627.1,58.1242,22.5,16.5463,0.826219
518,355,0.645,0.106875,0.43175,327.1,31.2541,11.1,11.1723,0.921408
519,666,0.91025,0.02375,0.4075,29.6,24.6073,33.8,12.1622,0.0444444
520,284,0.69425,0.148,0.37875,284,0,0,0,1
521,494,0.97725,0.166875,0.629,494,0,0,0,1
522,739,0.98375,0.042875,0.373,171.2,53.4573,92.6,4.24264,0.231664
523,341,0.77775,0.127875,0.51725,341,0,0,0,1
524,419,0.7075,0.157625,0.3855,419,0,0,0,1
525,771,0.51075,0.08425,0.4825,202.3,22.2032,123.5,30.4056,0.262387
526,632,0.94325,0.224125,0.62775,580,73.5391,6.5,9.19239,0.917722
527,221,0.69675,0.16475,0.38675,221,0,0,0,1
528,601,0.64125,0.0755,0.64625,227.5,100.833,79.6,0.282843,0.378536
529,269,0.98475,0.172375,0.71575,269,0,0,0,1
530,554,0.95875,0.1665,0.535,554,0,0,0,1
531,516,0.726,0.157875,0.6285,369.3,36.3453,50.4,31.3955,0.715698
532,384,0.71675,0.0545,0.35325,203.1,49.0732,65.8,20.9304,0.528906
533,244,0.87225,0.143125,0.415,244,0,0,0,1
534,511,0.993,0.146875,0.5905,437.8,5.9397,17.6,4.24264,0.856751
535,278,0.5825,0.243,0.464,278,0,0,0,1
536,218,0.612,0.201375,0.59575,218,0,0,0,1
537,639,0.62875,0.197625,0.4905,481.1,86.4084,40.9,28.7085,0.752895
538,402,0.543,0.239625,0.5955,402,0,0,0,1
539,217,0.91425,0.209125,0.6015,217,0,0,0,1
540,239,0.8055,0.16975,0.54975,239,0,0,0,1
541,697,0.689,0.123,0.63025,225,73.2563,108.5,25.0316,0.322812
542,401,0.84775,0.069375,0.54775,182.1,38.608,68.6,0.848528,0.454115
543,641,0.5305,0.155,0.63275,382,32.8098,81.5,15.1321,0.595944
544,329,0.818,0.200625,0.31225,329,0,0,0,1
545,684,0.6825,0.046,0.3655,138.3,18.2434,126.5,8.90955,0.202193
546,332,0.989,0.156625,0.2705,332,0,0,0,1
547,278,0.51275,0.232125,0.64675,278,0,0,0,1
548,466,0.52,0.122375,0.57925,224.7,6.08112,119.2,26.8701,0.482189
549,404,0.64725,0.230625,0.316,404,0,0,0,1
550,776,0.6205,0.023125,0.698,0,0,0.1,0.141421,0
551,477,0.6945,0.0075,0.5375,0,0,14.9,0.424264,0
552,485,0.57225,0.136875,0.34875,482,4.24264,1.7,2.40416,0.993814
553,443,0.936,0.2315,0.569,443,0,0,0,1
554,700,0.7425,0.082,0.258,489.7,64.0639,50.9,15.1321,0.699571
555,704,0.55325,0.234875,0.26575,704,0,0,0,1
556,549,0.71375,0.074,0.38125,295.6,26.8701,71.2,3.39411,0.538434
557,663,0.72225,0.202125,0.638,663,0,0,0,1
558,795,0.965,0.012625,0.302,11.1,0.424264,26,14.1421,0.0139623
559,298,0.733,0.23225,0.6055,298,0,0,0,1
560,515,0.78275,0.0905,0.64425,352,87.3984,44.2,35.3553,0.683495
561,780,0.57325,0.193625,0.39725,534.8,48.3661,59.5,14.2836,0.685641
562,534,0.598,0.144125,0.4865,415.5,90.0854,52.9,38.8909,0.77809
563,428,0.717,0.202,0.58975,428,0,0,0,1
564,609,0.61575,0.2055,0.4035,609,0,0,0,1
565,722,0.835,0.062375,0.307,307.3,48.7904,74.6,13.5765,0.425623
566,302,0.67825,0.079125,0.7065,170.8,15.2735,53.9,16.2635,0.565563
567,567,0.9525,0.182875,0.6445,523.1,50.2046,11.5,13.7179,0.922575
568,470,0.94925,0.151125,0.51675,470,0,0,0,1
569,352,0.74125,0.1335,0.516,352,0,0,0,1
570,685,0.9625,0.007625,0.40025,0,0,9.7,0.141421,0
571,696,0.83525,0.001375,0.66,0,0,318.8,3.67696,0
572,250,0.51425,0.1495,0.47225,250,0,0,0,1
573,309,0.79525,0.15725,0.2825,309,0,0,0,1
574,552,0.5035,0.138625,0.69875,258.8,20.3647,109.9,6.08112,0.468841
575,603,0.61275,0.0465,0.297,169.5,33.234,116.3,3.81838,0.281095
576,534,0.53325,0.189125,0.33925,534,0,0,0,1
577,440,0.82175,0.04825,0.6905,47.3,40.0222,56.9,40.8708,0.1075
578,654,0.821,0.2485,0.3605,654,0,0,0,1
579,218,0.5285,0.050875,0.422,114.4,19.799,73.5,13.1522,0.524771
580,483,0.7055,0.05175,0.3325,201.4,17.2534,80.3,8.06102,0.416977
581,716,0.81925,0.016,0.522,0,0,0.2,0.282843,0
582,248,0.5155,0.041,0.3155,132,7.07107,76.7,5.51543,0.532258
583,494,0.93,0.026125,0.49775,0,0,0,0,0
584,272,0.7185,0.0665,0.52425,176.9,33.234,58.8,11.3137,0.650368
585,656,0.558,0.0785,0.46575,179.8,72.6906,102,6.50538,0.274085
586,452,0.976,0.11925,0.369,452,0,0,0,1
587,715,0.60625,0.01375,0.6825,0,0,1.3,0.707107,0
588,283,0.65675,0.0385,0.67775,2.1,2.96985,18.5,26.163,0.00742049
589,712,0.67125,0.04275,0.6025,78.9,89.8026,18.1,25.5973,0.110815
590,725,0.87425,0.0635,0.31275,341.3,34.9311,75.5,2.40416,0.470759
591,666,0.6575,0.149875,0.46075,443.8,38.1838,65,9.33381,0.666366
592,799,0.66625,0.125,0.48875,523.9,60.3869,42.1,12.3037,0.655695
593,412,0.9995,0.08575,0.46225,328.1,27.2943,27.5,5.23259,0.796359
594,241,0.50975,0.213625,0.514,241,0,0,0,1
595,458,0.53975,0.06925,0.68325,67.3,46.2448,78.9,25.3144,0.146943
596,377,0.64275,0.099625,0.4675,288.9,3.25269,37.2,1.69706,0.766313
597,782,0.59775,0.206125,0.38725,657.5,14.8492,32.9,5.51543,0.840793
598,375,0.55775,0.02275,0.70125,0,0,0,0,0
599,243,0.91525,0.166375,0.37125,243,0,0,0,1
600,224,0.887,0.1595,0.4695,224,0,0,0,1
601,738,0.82,0.16325,0.54475,522.4,22.9103,36.6,5.37401,0.707859
602,622,0.95975,0.18275,0.37175,622,0,0,0,1
603,390,0.9695,0.12775,0.65275,346.2,10.1823,11.1,2.12132,0.887692
604,531,0.69725,0.1655,0.55825,399.4,36.4867,38.6,3.67696,0.752166
605,290,0.771,0.19125,0.6605,290,0,0,0,1
606,562,0.60875,0.1425,0.704,281.6,96.4494,53.9,3.53553,0.501068
607,441,0.70425,0.077375,0.52675,203,51.1945,73.8,14.425,0.460317
608,626,0.51475,0.24,0.4755,606.1,10.0409,9.2,1.41421,0.968211
609,429,0.63625,0.231,0.4735,429,0,0,0,1
610,773,0.5085,0.163,0.33125,572.9,19.0919,64.5,0.424264,0.741138
611,306,0.651,0.12075,0.506,295.8,14.425,5.3,7.49533,0.966667
612,496,0.85475,0.19575,0.354,496,0,0,0,1
613,641,0.93475,0.03825,0.416,98.4,18.9505,88.9,1.27279,0.15351
614,789,0.72975,0.08975,0.7205,397.8,63.0739,29.4,1.13137,0.504183
615,503,0.6465,0.22175,0.3545,503,0,0,0,1
616,707,0.64325,0.041125,0.34,165.5,15.6978,126.3,26.4458,0.234088
617,603,0.7445,0.126875,0.4195,422.6,10.4652,42.4,4.80833,0.700829
618,498,0.949,0.038,0.377,199,42.9921,71.4,11.3137,0.399598
619,475,0.65525,0.044,0.37725,113.7,26.163,98.8,10.1823,0.239368
620,265,0.5355,0.17925,0.62725,265,0,0,0,1
621,526,0.85575,0.02325,0.7135,0,0,0,0,0
622,419,0.98575,0.167375,0.64875,419,0,0,0,1
623,440,0.548,0.10125,0.646,259.9,96.0251,94.3,58.1242,0.590682
624,433,0.80725,0.236125,0.45575,433,0,0,0,1
625,371,0.83125,0.228,0.3205,371,0,0,0,1
626,715,0.8135,0.16575,0.456,590.1,10.8894,32.7,2.40416,0.825315
627,226,0.87025,0.12825,0.472,226,0,0,0,1
628,751,0.955,0.100625,0.29475,519.5,124.875,39.3,19.9404,0.691744
629,680,0.7615,0.228125,0.4145,680,0,0,0,1
630,612,0.9245,0.17425,0.433,612,0,0,0,1
631,568,0.687,0.01525,0.2665,21.6,17.8191,47.7,7.21249,0.0380282
632,611,0.8325,0.215875,0.5215,611,0,0,0,1
633,470,0.894,0.219125,0.69,470,0,0,0,1
634,450,0.88825,0.182125,0.73425,450,0,0,0,1
635,704,0.60225,0.09225,0.49075,262.3,59.8212,105.1,24.4659,0.372585
636,498,0.63775,0.227625,0.56275,498,0,0,0,1
637,799,0.64625,0.23025,0.525,678.7,108.47,21.1,20.5061,0.849437
638,287,0.66925,0.083125,0.3575,287,0,0,0,1
639,203,0.5565,0.075875,0.41225,197.2,1.13137,5.6,2.26274,0.971429
640,366,0.7385,0.126125,0.549,358.4,10.748,3.8,5.37401,0.979235
641,694,0.5325,0.02,0.47325,0,0,0.1,0.141421,0
642,756,0.58575,0.00325,0.3345,0,0,126.3,0.424264,0
643,529,0.94725,0.082125,0.7345,155.2,64.771,55.5,23.6174,0.293384
644,203,0.6585,0.235625,0.321,203,0,0,0,1
645,419,0.5995,0.03775,0.6975,2.5,3.53553,21.9,30.9713,0.00596659
646,312,0.54275,0.09075,0.35725,310,2.82843,1.1,1.55563,0.99359
647,544,0.79675,0.006875,0.561,0,0,19.7,1.27279,0
648,587,0.6235,0.0995,0.39975,351.4,31.1127,75.1,4.94975,0.598637
649,597,0.7605,0.187875,0.543,574.7,25.3144,10,10.1823,0.962647
650,269,0.604,0.10775,0.45925,267.8,1.69706,0.9,1.27279,0.995539
651,382,0.5195,0.244125,0.63875,382,0,0,0,1
652,214,0.5,0.14375,0.271,214,0,0,0,1
653,379,0.87625,0.078125,0.2725,379,0,0,0,1
654,324,0.622,0.208125,0.5755,324,0,0,0,1
655,377,0.74175,0.243125,0.49275,377,0,0,0,1
656,296,0.5845,0.04,0.63375,23.4,29.9813,40.9,47.0933,0.0790541
657,755,0.90725,0.20275,0.48825,693.1,30.9713,7.6,3.11127,0.918013
658,729,0.9205,0.1105,0.264,666,66.1852,10.5,11.1723,0.91358
659,227,0.78625,0.18425,0.486,227,0,0,0,1
660,668,0.906,0.0325,0.595,8,11.3137,3,4.24264,0.011976
661,614,0.58675,0.054875,0.66025,71.1,73.1148,11.4,16.122,0.115798
662,288,0.84425,0.12875,0.46,288,0,0,0,1
663,229,0.9025,0.09525,0.39325,229,0,0,0,1
664,313,0.99125,0.1175,0.55425,313,0,0,0,1
665,774,0.6445,0.080375,0.74825,306.4,102.389,41.5,19.0919,0.395866
666,353,0.93025,0.01625,0.313,38.2,7.63675,58.9,3.81838,0.108215
667,455,0.87275,0.15375,0.408,455,0,0,0,1
668,461,0.899,0.00725,0.47525,0,0,12.4,1.41421,0
669,633,0.8725,0.224,0.562,613.3,8.6267,5.1,2.96985,0.968878
670,683,0.876,0.1095,0.5315,339.4,29.4156,54.1,2.40416,0.496925
671,506,0.96275,0.14875,0.43,506,0,0,0,1
672,517,0.95275,0.09575,0.6855,285.7,115.541,54.4,19.799,0.552611
673,732,0.6655,0.096125,0.51775,211.9,23.0517,117.8,34.224,0.289481
674,261,0.93625,0.152625,0.5865,261,0,0,0,1
675,210,0.65475,0.02825,0.292,112.3,7.49533,64.9,11.738,0.534762
676,505,0.56725,0.110625,0.61925,303.1,73.3977,67.2,43.2749,0.600198
677,675,0.7865,0.169875,0.565,549.5,36.0624,30.7,6.36396,0.814074
678,425,0.5705,0.167875,0.693,307.4,28.5671,58.4,11.3137,0.723294
679,550,0.834,0.200875,0.60025,534.8,21.496,4,5.65685,0.972364
680,413,0.58925,0.122875,0.259,413,0,0,0,1
681,461,0.82825,0.053375,0.4615,125.5,20.5061,87.5,28.4257,0.272234
682,602,0.8155,0.127125,0.6615,296,14.1421,66.1,14.2836,0.491694
683,703,0.77925,0.16025,0.36575,657.5,3.53553,11.6,1.41421,0.935277
684,290,0.52275,0.202875,0.26925,290,0,0,0,1
685,566,0.8865,0.11325,0.28575,565.4,0.848528,0.3,0.424264,0.99894
686,454,0.806,0.198375,0.67925,438,22.6274,4.1,5.79828,0.964758
687,380,0.7525,0.1745,0.33725,380,0,0,0,1
688,552,0.996,0.248625,0.45775,552,0,0,0,1
689,413,0.71325,0.233125,0.31125,413,0,0,0,1
690,482,0.59,0.089,0.26425,404.5,6.6468,32.8,5.9397,0.839212
691,409,0.858,0.127375,0.5625,395,19.799,3.9,5.51543,0.96577
692,756,0.763,0.0335,0.6795,0,0,0,0,0
693,338,0.663,0.08825,0.378,327.1,5.51543,6.2,1.41421,0.967751
694,548,0.954,0.011625,0.25425,4.8,6.78823,12.9,16.5463,0.00875912
695,479,0.664,0.1865,0.661,432,2.54558,15.8,5.65685,0.901879
696,448,0.59675,0.02875,0.62475,0,0,0,0,0
697,313,0.50475,0.0305,0.66525,0,0,0,0,0
698,501,0.51225,0.013625,0.701,0,0,1.4,0.282843,0
699,218,0.57825,0.043875,0.66575,43.5,30.1227,79.5,30.9713,0.199541
700,740,0.53625,0.19325,0.73625,393.1,65.1952,79.5,4.38406,0.531216
701,335,0.61125,0.126625,0.25,335,0,0,0,1
702,698,0.66475,0.104875,0.64075,272.9,27.5772,112.3,6.36396,0.390974
703,679,0.6965,0.081875,0.587,246.7,62.084,81.6,26.0215,0.363328
704,449,0.57975,0.0865,0.454,247.6,43.8406,87.8,4.52548,0.551448
705,743,0.971,0.071875,0.445,244,39.3151,63.6,8.48528,0.328398
706,419,0.8795,0.06475,0.26625,382.5,4.38406,16.4,6.50538,0.912888
707,530,0.732,0.216875,0.2935,530,0,0,0,1
708,572,0.69575,0.156375,0.5295,464.3,12.8693,28.4,1.41421,0.811713
709,722,0.59975,0.12975,0.6665,379.4,171.968,65.9,28.7085,0.525485
710,615,0.54075,0.17,0.45525,464.9,115.541,48.3,28.7085,0.755935
711,627,0.781,0.205125,0.654,543.4,23.4759,9.6,8.76812,0.866667
712,752,0.8045,0.152,0.4235,634,64.2053,27.7,25.0316,0.843085
713,544,0.84225,0.006,0.3955,0,0,22.8,3.39411,0
714,690,0.69375,0.010375,0.65,0,0,4.3,0.989949,0
715,201,0.634,0.026375,0.4115,58.9,33.7997,71.9,22.2032,0.293035
716,410,0.7125,0.048125,0.42175,142,10.748,69.3,3.25269,0.346341
717,751,0.58525,0.09325,0.4605,258,125.582,108.3,12.5865,0.343542
718,679,0.76575,0.144375,0.41325,504.8,68.7308,35.8,16.9706,0.743446
719,475,0.616,0.175375,0.73675,401.2,56.2857,45.5,43.6992,0.844632
720,643,0.76275,0.003,0.738,0,0,169.5,0.424264,0
721,226,0.7415,0.0295,0.33775,104.4,31.9612,60.9,4.6669,0.461947
722,689,0.75425,0.132375,0.585,360.6,27.7186,73.4,24.8902,0.523367
723,200,0.807,0.227875,0.42875,200,0,0,0,1
724,558,0.76475,0.0435,0.3365,161.4,56.8514,98.7,20.2233,0.289247
725,306,0.51575,0.248875,0.6965,306,0,0,0,1
726,445,0.6335,0.07425,0.32725,239.5,3.81838,74.4,4.52548,0.538202
727,239,0.9235,0.224625,0.563,239,0,0,0,1
728,560,0.89875,0.077125,0.463,317.6,162.635,58.1,36.0624,0.567143
729,393,0.7535,0.0915,0.379,311.3,41.4365,34.5,18.5262,0.792112
730,507,0.5165,0.0135,0.73125,0,0,2.2,0.282843,0
731,605,0.5185,0.10175,0.56225,224.6,30.2642,96.3,0.424264,0.37124
732,796,0.815,0.144,0.6715,500.5,151.179,55.2,25.7387,0.628769
733,213,0.78375,0.15225,0.6185,213,0,0,0,1
734,521,0.51025,0.059,0.31725,169.9,4.10122,133,19.799,0.326104
735,677,0.92675,0.2115,0.70875,561.3,122.329,15.5,11.1723,0.829099
736,617,0.99925,0.221625,0.669,608.7,11.738,1.6,2.26274,0.986548
737,482,0.541,0.063375,0.6075,180,3.39411,96.3,16.8291,0.373444
738,257,0.68225,0.05725,0.69125,99.9,47.0933,69.8,10.4652,0.388716
739,724,0.87375,0.130125,0.59625,371.3,31.537,48.5,1.27279,0.512845
740,645,0.99675,0.184375,0.53425,620.9,34.0825,6.4,9.05097,0.962636
741,750,0.5265,0.04525,0.2695,148.1,8.06102,144.2,0.565685,0.197467
742,561,0.71575,0.013875,0.72025,0,0,1,0.282843,0
743,564,0.7985,0.19825,0.5735,553.6,14.7078,3,4.24264,0.98156
744,647,0.50375,0.196625,0.46875,473.9,23.9002,52.3,22.2032,0.732457
745,271,0.59925,0.057125,0.6365,95.2,15.8392,93.7,5.79828,0.351292
746,792,0.82425,0.188625,0.3385,792,0,0,0,1
747,339,0.62975,0.125125,0.389,339,0,0,0,1
748,660,0.539,0.164625,0.42925,483.6,31.3955,63.2,22.0617,0.732727
749,756,0.66975,0.08375,0.25525,455,64.771,66.2,3.67696,0.601852
750,754,0.8255,0.015,0.68125,0,0,0.6,0.565685,0
751,320,0.577,0.1915,0.68625,320,0,0,0,1
752,251,0.82225,0.17375,0.632,251,0,0,0,1
753,266,0.81825,0.02225,0.7315,0,0,0,0,0
754,369,0.67225,0.212,0.32775,369,0,0,0,1
755,774,0.826,0.117125,0.50925,374.5,91.7825,56,10.1823,0.48385
756,551,0.64225,0.1515,0.70275,362.2,31.3955,33.1,19.6576,0.65735
757,378,0.89375,0.109625,0.72425,320.5,21.3546,21,0.565685,0.847884
758,505,0.71275,0.12375,0.36775,487.7,18.5262,5.6,5.37401,0.965743
759,464,0.53875,0.10675,0.25775,464,0,0,0,1
760,623,0.79625,0.076375,0.5555,204.2,43.5578,73,23.1931,0.327769
761,578,0.86275,0.14175,0.6925,426.5,103.945,23.4,28.5671,0.737889
762,401,0.909,0.155875,0.60975,401,0,0,0,1
763,225,0.959,0.2015,0.58075,225,0,0,0,1
764,466,0.8675,0.09925,0.42325,381,11.8794,24.7,5.51543,0.817597
765,213,0.552,0.081625,0.296,213,0,0,0,1
766,608,0.78425,0.04725,0.3275,219.4,47.5176,92.2,2.54558,0.360855
767,281,0.688,0.017875,0.5575,0,0,1.6,2.26274,0
768,296,0.95075,0.019375,0.65475,0,0,0,0,0
769,710,0.56025,0.138375,0.47,390.2,31.3955,78.7,33.7997,0.549577
770,521,0.59875,0.22075,0.314,521,0,0,0,1
771,350,0.73675,0.13625,0.697,330.9,3.25269,8.2,4.52548,0.945429
772,300,0.935,0.12625,0.47475,300,0,0,0,1
773,357,0.98,0.214375,0.70675,357,0,0,0,1
774,594,0.5365,0.174375,0.64825,394.8,8.76812,65.9,16.2635,0.664646
775,548,0.6645,0.097125,0.3455,394.2,39.0323,38.6,3.67696,0.719343
776,769,0.73525,0.186625,0.47025,587.7,40.0222,31.1,17.3948,0.764239
