sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
290,141.4,1.601,0.0833,0.3832,0,0,146.325,2.01525
291,197.2,1.298,0.08,0.3056,0,0,197.975,0.0353553
292,521.2,0.881,0.1994,0.6392,2.55,3.46482,499.4,6.92965
293,436.6,1.142,0.1718,0.4392,0,0,437,0
294,695.8,1.751,0.164,0.3936,0.75,1.06066,692.475,4.91439
295,368.2,1.169,0.0629,0.44,38.5,1.48492,244.3,6.29325
296,755.2,1.163,0.0875,0.5104,64.375,1.0253,310.925,45.0781
297,782.2,1.922,0.1319,0.324,11.2,1.20208,712.9,4.87904
298,485.2,1.331,0.0602,0.5048,60.875,10.9248,201.675,33.7643
299,796.6,1.838,0.11,0.5856,45.95,0.0707107,523.725,8.73277
300,847,1.316,0.1415,0.3464,11.325,12.0562,754.85,39.7394
301,503.2,0.83,0.0848,0.4328,56.35,1.13137,284.375,23.2285
302,152.2,1.505,0.1688,0.4176,0,0,261.5,13.1522
303,357.4,1.382,0.0992,0.4248,0,0,357.975,0.0353553
304,818.2,0.656,0.0719,0.6136,91.7,60.2455,212.6,63.9225
305,254.8,1.157,0.1838,0.6632,0,0,255.125,0.176777
306,276.4,1.886,0.158,0.644,0,0,277.775,1.09602
307,595,0.785,0.0968,0.36,49.875,2.2981,394.425,16.8645
308,735.4,0.866,0.0818,0.476,79.125,0.106066,255.675,15.8038
309,402.4,1.688,0.1157,0.4968,3.725,2.2981,392.925,4.84368
310,452.8,1.148,0.1433,0.6504,5.9,2.05061,433.475,13.8946
311,724.6,0.71,0.125,0.6144,85.625,10.5712,296.25,19.9404
312,494.2,1.094,0.1733,0.5224,0.05,0.0707107,482.375,17.8544
313,659.8,1.301,0.1886,0.3296,0,0,660,0
314,854.2,0.962,0.1652,0.6256,41.9,2.05061,574.9,56.9928
315,922.6,1.259,0.0539,0.668,24.25,20.8597,124.95,48.3661
316,105.4,0.98,0.1469,0.5352,0,0,162.825,5.12652
317,740.8,0.878,0.0908,0.5992,67.15,8.06102,288.15,66.6095
318,346.6,1.853,0.1202,0.3208,0,0,347,0
319,121.6,0.533,0.1709,0.4064,0,0,240.5,7.2832
320,355.6,1.337,0.1646,0.3896,0,0,356.2,0.282843
321,290.8,0.746,0.1802,0.5056,0,0,295.3,6.08112
322,323.2,1.904,0.1295,0.56,0,0,324,0
323,596.8,0.776,0.0536,0.4848,77.975,10.2177,176.25,31.042
324,598.6,1.328,0.0644,0.3872,59.75,5.3033,288.15,14.8492
325,227.8,0.872,0.1508,0.6736,0,0,228,0
326,803.8,0.662,0.1382,0.4888,75.4,1.9799,442.45,32.9512
327,577,0.512,0.176,0.4368,61.525,6.54074,421.925,14.8846
328,359.2,0.722,0.1583,0.468,0,0,350.975,12.6926
329,920.8,1.664,0.0686,0.3008,73.6,0,395.475,7.17713
330,262,1.037,0.1169,0.5128,0,0,262,0
331,892,0.944,0.1511,0.5904,43.325,4.41942,525.125,73.0088
332,852.4,1.775,0.182,0.532,13.925,4.9851,727.075,7.88424
333,155.8,0.824,0.1574,0.3,0,0,293.3,3.25269
334,267.4,0.644,0.122,0.6496,8.825,4.278,254.475,7.31856
335,130.6,1.499,0.0899,0.4136,0,0,138.975,0.813173
336,235,1.076,0.0752,0.5536,3.45,3.3234,229,6.78823
337,222.4,0.932,0.0974,0.552,0,0,223,0
338,879.4,1.343,0.1034,0.48,53.825,9.79343,462.7,11.8794
339,312.4,1.151,0.1967,0.3968,0,0,322.35,0.212132
340,697.6,1.85,0.1379,0.568,33.425,4.278,509.625,4.20729
341,301.6,0.569,0.152,0.4616,0,0,302,0
342,989.2,1.466,0.1499,0.5928,44.85,17.3241,561.65,68.5894
343,778.6,0.566,0.1517,0.3616,70.925,1.30815,501.1,2.68701
344,148.6,1.427,0.1907,0.5704,0,0,231.6,4.10122
345,575.2,1.145,0.1007,0.4432,32.875,5.40937,419.575,23.9356
