sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
383,459,0.6055,0.1525,0.658,337,43.9108,44.04,17.3772,0.734205
384,716,0.674,0.0285,0.3245,111.68,70.5003,102.84,24.3287,0.155978
385,798,0.636,0.06,0.463,174.24,44.824,113.52,20.4717,0.218346
386,509,0.8235,0.10625,0.581,322.68,93.2337,47.88,29.111,0.633949
387,249,0.6915,0.09,0.433,248.28,1.60997,0.32,0.609918,0.997108
388,501,0.56,0.2405,0.6345,486.64,22.7923,7.72,11.4714,0.971337
389,558,0.5535,0.1765,0.344,558,0,0,0,1
390,789,0.9355,0.102,0.545,341.72,46.2101,77.72,8.90797,0.433105
391,575,0.9045,0.17,0.486,569.16,8.12084,1.2,1.84932,0.989843
392,349,0.8025,0.22225,0.738,349,0,0,0,1
393,549,0.9645,0.23025,0.323,549,0,0,0,1
394,423,0.569,0.17325,0.674,343.96,28.3413,42.68,18.7049,0.813144
395,231,0.604,0.20125,0.703,231,0,0,0,1
396,424,0.5955,0.2475,0.3405,424,0,0,0,1
397,416,0.7295,0.1005,0.541,318.6,50.6958,32.24,14.5968,0.765865
398,507,0.9055,0.058,0.7215,157.72,85.5433,19.48,18.632,0.311085
399,296,0.5585,0.14275,0.378,296,0,0,0,1
400,480,0.504,0.177,0.45,447.28,23.2696,13.72,9.09021,0.931833
401,492,0.5025,0.13025,0.7455,270.52,49.1889,75.36,21.4869,0.549837
402,429,0.9145,0.20625,0.2925,429,0,0,0,1
403,216,0.617,0.08025,0.4965,210.4,4.49222,4.6,3.42345,0.974074
404,714,0.804,0.03875,0.313,145.76,32.0304,92.08,7.00942,0.204146
405,497,0.8715,0.00025,0.429,0,0,341.2,16.0792,0
406,569,0.9415,0.18125,0.7415,502.4,64.0153,14.48,13.4303,0.882953
407,342,0.586,0.14225,0.31,342,0,0,0,1
408,270,0.7445,0.0185,0.5905,0,0,3.44,6.60515,0
409,563,0.686,0.1585,0.642,357.2,46.7183,57.92,13.571,0.634458
410,576,0.7435,0.07875,0.351,297.76,28.7337,67.52,6.94349,0.516944
411,220,0.768,0.126,0.492,220,0,0,0,1
412,506,0.739,0.09125,0.5705,236.16,67.7204,77.64,24.4554,0.466719
413,241,0.505,0.22,0.565,241,0,0,0,1
414,555,0.801,0.163,0.734,438.44,80.5536,32.84,21.7566,0.789982
415,768,0.9365,0.134,0.3785,644.04,56.7273,22.56,8.61325,0.838594
416,762,0.935,0.1115,0.3305,556.92,53.8105,35.36,9.55343,0.730866
417,303,0.9515,0.24775,0.546,303,0,0,0,1
418,696,0.571,0.203,0.438,581.84,47.124,33.48,18.7417,0.835977
419,225,0.7725,0.033,0.602,39.96,34.8331,36.96,21.0402,0.1776
420,680,0.8475,0.16175,0.729,454.12,68.174,41.12,23.9088,0.667824
421,412,0.6515,0.06475,0.3195,238.68,30.9114,69.76,11.8932,0.57932
422,509,0.83,0.043,0.373,132.72,30.1445,89.04,11.2182,0.260747
423,696,0.716,0.1395,0.657,359.52,114.517,65.8,34.804,0.516552
424,466,0.843,0.079,0.5615,226.32,50.0697,62.36,10.842,0.485665
425,245,0.9975,0.0075,0.4285,0,0,7.12,1.23774,0
426,706,0.576,0.18425,0.683,448.44,64.5809,92.44,24.4059,0.635184
427,729,0.6325,0.04575,0.7065,7.6,16.9941,5.92,13.2375,0.0104252
428,382,0.6235,0.11125,0.3615,380.84,2.59384,0.88,1.96774,0.996963
429,528,0.5825,0.0675,0.6035,136.72,57.6119,103.36,20.8112,0.258939
430,296,0.593,0.1065,0.4215,296,0,0.04,0.0894427,1
431,244,0.5475,0.12,0.607,242.6,1.9799,1.28,1.80333,0.994262
432,356,0.7955,0.22025,0.5325,356,0,0,0,1
433,247,0.92,0.24975,0.3445,247,0,0,0,1
434,252,0.607,0.196,0.3135,252,0,0,0,1
435,578,0.9475,0.19825,0.472,578,0,0,0,1
436,431,0.8725,0.04775,0.421,165.72,49.9329,67.08,9.91221,0.384501
437,513,0.8225,0.0995,0.5585,302.44,43.0475,56.64,18.429,0.589552
438,323,0.9875,0.15625,0.2945,323,0,0,0,1
439,699,0.5605,0.219,0.6115,503.36,86.3988,48.44,21.2035,0.720114
440,431,0.5765,0.18475,0.556,409.16,17.5917,10.52,6.65372,0.949327
441,764,0.72,0.144,0.733,444.44,52.1439,66.08,12.4961,0.581728
442,239,0.934,0.23775,0.268,239,0,0,0,1
443,528,0.546,0.21225,0.611,445.4,49.6077,29.16,24.453,0.843561
444,485,0.8035,0.2445,0.269,485,0,0,0,1
445,437,0.967,0.07025,0.288,399.56,19.5854,12.96,8.16994,0.914325
446,617,0.5075,0.09725,0.521,209.32,77.3153,130.8,30.6936,0.339254
447,350,0.762,0.18825,0.4295,350,0,0,0,1
448,388,0.776,0.0255,0.307,98.88,21.3446,89.24,8.60395,0.254845
449,361,0.5485,0.20875,0.7225,356,6.90797,2.32,3.25454,0.98615
450,475,0.6755,0.2175,0.48,475,0,0,0,1
451,537,0.844,0.183,0.6595,486.32,26.7741,13.32,6.6882,0.905624
452,357,0.6675,0.113,0.5715,286.12,33.0329,28.8,9.11702,0.801457
453,584,0.7785,0.08875,0.314,383.48,34.2198,50.68,9.76381,0.656644
454,211,0.888,0.06325,0.618,170.28,7.26443,22.84,4.92016,0.807014
455,520,0.6655,0.02375,0.7305,0,0,0,0,0
456,548,0.922,0.07425,0.7265,176.44,69.3575,55.88,32.1193,0.321971
457,417,0.9895,0.2045,0.305,417,0,0,0,1
458,678,0.596,0.057,0.3145,184.32,33.2982,116.76,5.49072,0.271858
459,711,0.7995,0.05025,0.654,15.44,15.6124,20.56,16.9183,0.0217159
460,641,0.984,0.123,0.4665,447.2,73.0902,41.56,12.9409,0.69766
461,608,0.584,0.1485,0.502,384.88,65.092,66.76,26.8996,0.633026
462,647,0.869,0.0695,0.543,216.16,56.1693,72.2,17.6833,0.334096
463,686,0.867,0.167,0.4645,599.88,62.4401,16.64,13.7916,0.874461
464,312,0.592,0.10925,0.7355,196.12,45.9418,52.48,23.3048,0.62859
465,720,0.9925,0.0665,0.4025,236.88,42.4847,72.12,10.501,0.329
466,797,0.767,0.031,0.668,0,0,0,0,0
467,377,0.8865,0.025,0.5975,2.56,5.72433,2.32,4.85922,0.00679045
468,456,0.7365,0.0405,0.588,52.24,56.7844,20.32,9.76176,0.114561
469,507,0.6445,0.064,0.291,260.04,22.4122,76.6,9.00111,0.512899
470,541,0.646,0.0025,0.3595,0,0,148.6,5.73236,0
471,623,0.969,0.0105,0.681,0,0,3.44,0.792465,0
472,452,0.9185,0.10975,0.5845,359.44,30.6413,22.48,8.67018,0.795221
473,436,0.919,0.221,0.745,436,0,0,0,1
474,644,0.8245,0.195,0.3725,644,0,0,0,1
475,470,0.6295,0.16425,0.2645,470,0,0,0,1
476,747,0.864,0.01225,0.5535,0,0,1.48,0.501996,0
477,637,0.8815,0.04425,0.4465,66.24,26.0773,68.4,14.6697,0.103987
478,256,0.698,0.2295,0.589,256,0,0,0,1
479,519,0.5545,0.186,0.444,505.44,14.533,4.76,5.14665,0.973873
480,627,0.5995,0.071,0.6775,178,7.10634,80.32,38.1871,0.283892
481,284,0.5255,0.082,0.417,218.6,13.5499,41.08,3.40176,0.769718
482,776,0.751,0.07775,0.6655,274.68,88.4359,54.52,30.5269,0.353969
483,765,0.536,0.02175,0.2535,63.92,29.9952,73.8,52.8731,0.0835556
484,587,0.956,0.12325,0.6135,446.88,82.6773,29.24,19.2673,0.761295
485,570,0.796,0.066,0.303,295.44,53.4317,73.36,8.41713,0.518316
486,623,0.5365,0.02075,0.5265,0,0,0,0,0
487,779,0.7545,0.08725,0.477,246.4,43.3885,92.16,16.1452,0.316303
488,627,0.634,0.1785,0.672,430.76,58.3327,57.2,22.98,0.687018
489,665,0.534,0.228,0.74,523.84,99.6535,47.8,30.4454,0.787729
490,615,0.847,0.09425,0.7385,376.76,71.2959,50.68,23.5051,0.612618
491,362,0.615,0.1745,0.5255,362,0,0,0,1
492,707,0.833,0.24825,0.4955,707,0,0,0,1
493,491,0.726,0.19175,0.423,491,0,0,0,1
494,297,0.61,0.1075,0.35,297,0,0,0,1
495,414,0.719,0.00825,0.7045,0,0,11.96,1.39571,0
496,495,0.544,0.19875,0.4145,495,0,0,0,1
497,257,0.7825,0.1345,0.3295,257,0,0,0,1
498,352,0.689,0.1035,0.439,320.88,28.855,15.48,14.0617,0.911591
499,639,0.7315,0.12625,0.5055,339.52,44.3036,58.96,6.64741,0.53133
500,646,0.8175,0.1015,0.266,583.68,29.563,15.36,8.17973,0.903529
501,612,0.732,0.1375,0.644,438.4,80.8141,47.2,19.7094,0.71634
502,518,0.5715,0.15125,0.374,505.36,12.0286,6.68,6.86964,0.975598
503,656,0.964,0.1225,0.5635,452.76,98.1341,40.52,23.2429,0.690183
504,236,0.6865,0.217,0.5425,236,0,0,0,1
505,237,0.7135,0.125,0.6085,237,0,0,0,1
506,285,0.5425,0.0985,0.4705,260,17.0253,20.56,11.0349,0.912281
507,329,0.5795,0.10175,0.454,298.48,21.2328,18.12,12.9171,0.907234
508,398,0.951,0.02225,0.3585,71.88,27.5767,45,15.3056,0.180603
509,408,0.541,0.1135,0.4435,303.6,30.133,49.96,14.1021,0.744118
510,215,0.6335,0.2365,0.532,215,0,0,0,1
511,423,0.625,0.22275,0.467,423,0,0,0,1
512,704,0.9295,0.11025,0.3945,416.64,39.502,52.96,12.0452,0.591818
513,278,0.8695,0.11975,0.499,278,0,0,0,1
514,333,0.5735,0.18925,0.5185,333,0,0,0,1
515,629,0.6375,0.13525,0.725,384.4,46.9355,71,8.47821,0.611129
516,524,0.9985,0.17225,0.529,524,0,0,0,1
517,547,0.9195,0.22075,0.629,547,0,0,0,1
518,734,0.5975,0.149,0.3185,529.48,32.9325,52.68,7.1925,0.721362
519,762,0.542,0.03975,0.617,1.48,3.30938,2,4.47214,0.00194226
520,326,0.946,0.04975,0.265,309,15.2912,8.2,6.33719,0.947853
521,740,0.754,0.03425,0.624,6.64,14.7359,1.88,3.57099,0.00897297
522,605,0.838,0.059,0.275,273.08,34.77,73,5.14587,0.451372
523,399,0.673,0.0295,0.524,17.52,8.33019,40.88,16.6539,0.0439098
524,705,0.594,0.18175,0.741,402.16,62.7016,82.48,23.1165,0.57044
525,561,0.784,0.16075,0.711,417.48,53.0972,46.32,19.3182,0.744171
526,233,0.7025,0.15075,0.485,233,0,0,0,1
527,784,0.8675,0.18,0.7115,644.24,87.5296,25.64,24.1364,0.821735
528,326,0.97,0.20275,0.4865,326,0,0,0,1
529,533,0.9325,0.20425,0.496,533,0,0,0,1
530,453,0.962,0.03075,0.3315,121.84,37.146,71,9.02774,0.268962
531,488,0.537,0.0095,0.5835,0,0,9.84,1.23612,0
532,761,0.761,0.01475,0.732,0,0,0.6,0.447214,0
533,419,0.7405,0.13,0.34,419,0,0,0,1
534,470,0.7895,0.22375,0.705,470,0,0,0,1
535,580,0.6805,0.00175,0.264,0,0,167.28,5.55086,0
536,263,0.949,0.03575,0.5085,86.36,35.6902,64.24,12.085,0.328365
537,545,0.55,0.0965,0.509,189.2,26.8801,108.56,20.7862,0.347156
538,407,0.808,0.0425,0.709,3.44,6.1537,6.28,7.00371,0.00845209
539,461,0.582,0.171,0.7085,308.32,59.1469,66.44,33.5971,0.668807
540,769,0.5415,0.1045,0.3915,312.56,23.817,112.72,17.8452,0.40645
541,477,0.515,0.12175,0.5305,280.12,32.1732,89.44,13.2101,0.587254
542,266,0.7755,0.099,0.659,224.96,10.6606,20.48,8.85957,0.845714
543,618,0.787,0.0845,0.3035,421.04,35.1905,48.96,5.65226,0.681294
544,626,0.606,0.1535,0.447,466.76,62.8709,40.56,23.9847,0.745623
545,678,0.957,0.14575,0.569,540.2,30.4033,25.28,8.93152,0.796755
546,681,0.597,0.223,0.456,601.08,56.7554,20.68,13.7467,0.882643
547,266,0.9915,0.173,0.723,266,0,0,0,1
548,690,0.941,0.04525,0.5295,135.28,49.7024,69.92,23.2919,0.196058
549,200,0.9525,0.00075,0.251,0,0,125.72,6.23314,0
550,305,0.889,0.03325,0.3335,136.2,22.4909,60.52,4.0978,0.446557
551,555,0.902,0.1905,0.5555,555,0,0,0,1
552,719,0.9115,0.23325,0.346,719,0,0,0,1
553,727,0.616,0.1945,0.289,727,0,0,0,1
554,747,0.5985,0.0865,0.3105,301.72,40.9806,102.52,6.08704,0.403909
555,321,0.7375,0.2455,0.562,321,0,0,0,1
556,267,0.5915,0.23525,0.5275,267,0,0,0,1
557,319,0.749,0.06825,0.743,122.68,42.2655,60.8,20.9609,0.384577
558,434,0.8385,0.02425,0.315,86.32,31.0005,73.6,14.9432,0.198894
559,205,0.52,0.14525,0.3485,205,0,0,0,1
560,717,0.6715,0.087,0.517,235.76,52.419,90.28,39.0089,0.328815
561,511,0.96,0.185,0.511,509.56,3.21994,0.36,0.804984,0.997182
562,464,0.6955,0.14675,0.702,346.56,85.7496,39.72,22.062,0.746897
563,756,0.729,0.10525,0.431,342.56,63.8513,73.68,8.38403,0.453122
564,687,0.6535,0.07925,0.2565,390.64,36.8704,67.44,10.7503,0.568617
565,440,0.6215,0.23725,0.407,440,0,0,0,1
566,234,0.516,0.0435,0.4835,78.2,23.3504,93.56,16.1625,0.334188
567,496,0.5875,0.187,0.5695,436.44,11.2342,19.84,6.10966,0.879919
568,775,0.782,0.09975,0.697,399.92,11.7257,62.84,13.333,0.516026
569,534,0.5145,0.1445,0.385,417.04,38.1464,42.04,13.6648,0.780974
570,344,0.627,0.1195,0.322,344,0,0,0,1
571,758,0.8375,0.10725,0.5805,295.52,96.9836,86.28,19.0361,0.389868
572,250,0.5155,0.03775,0.3205,119.24,19.3326,91.92,9.73817,0.47696
573,490,0.509,0.0815,0.5815,188.28,74.4413,103.96,17.3513,0.384245
574,766,0.7625,0.19225,0.6645,612.96,53.676,34.52,19.1032,0.800209
575,379,0.626,0.084,0.3845,290.12,32.4181,33.88,14.263,0.765488
576,738,0.8985,0.02525,0.452,0,0,0,0,0
577,243,0.619,0.202,0.549,243,0,0,0,1
578,687,0.965,0.05225,0.5995,217.44,54.478,34.8,18.5165,0.316507
579,398,0.861,0.235,0.353,398,0,0,0,1
580,339,0.865,0.157,0.596,339,0,0,0,1
581,257,0.713,0.23,0.6375,257,0,0,0,1
582,368,0.5205,0.23125,0.33,368,0,0,0,1
583,246,0.859,0.04475,0.6465,91.4,36.4788,34.64,5.59178,0.371545
584,608,0.5515,0.206,0.621,464.32,54.1985,40.24,16.1935,0.763684
585,633,0.5895,0.105,0.527,280.32,54.6345,92.2,16.6018,0.442844
586,733,0.7705,0.0955,0.2715,516.96,105.766,45.36,20.6792,0.705266
587,444,0.5315,0.15175,0.7325,286.56,82.3363,71.36,41.1039,0.645405
588,758,0.7535,0.09175,0.349,335.8,38.6386,76.64,4.18187,0.443008
589,234,0.811,0.1675,0.5135,234,0,0,0,1
590,503,0.6025,0.097,0.693,274.44,57.2649,83.68,27.8965,0.545606
591,712,0.721,0.12025,0.655,327.8,85.3084,75.96,12.5127,0.460393
592,438,0.8195,0.07175,0.5315,186.32,61.0425,60.52,22.1389,0.425388
593,468,0.527,0.15325,0.719,268.68,68.1752,77.68,37.7133,0.574103
594,689,0.5005,0.16825,0.404,446.72,60.6491,77,10.5224,0.64836
595,383,0.8625,0.198,0.4805,383,0,0,0,1
596,705,0.63,0.0945,0.489,283.72,96.6767,84.56,23.7829,0.40244
597,613,0.799,0.01625,0.2605,27.56,20.8257,42.68,18.8402,0.0449592
598,557,0.7765,0.22975,0.391,557,0,0,0,1
599,680,0.667,0.2145,0.6245,585.64,73.4435,25.28,18.9402,0.861235
600,221,0.9395,0.211,0.276,221,0,0,0,1
601,411,0.9945,0.04625,0.5165,156.36,46.6505,56.8,11.0671,0.380438
602,367,0.9425,0.1845,0.6945,367,0,0,0,1
603,654,0.715,0.21375,0.4605,645.6,7.70844,2.68,3.26374,0.987156
604,609,0.973,0.1875,0.651,584.92,23.7931,6.12,6.08704,0.96046
605,270,0.507,0.19275,0.3435,270,0,0,0,1
606,504,0.8905,0.227,0.684,504,0,0,0,1
607,248,0.7655,0.237,0.435,248,0,0,0,1
608,219,0.9685,0.039,0.6525,75.6,54.8717,38.24,6.40531,0.345205
609,660,0.5085,0.13725,0.2525,600.96,29.83,20.12,10.1927,0.910545
610,602,0.5695,0.11675,0.395,347.4,67.3791,81.52,19.8472,0.577076
611,543,0.836,0.1715,0.538,516.2,38.4957,6.68,8.48127,0.950645
612,354,0.781,0.06625,0.6235,153.48,56.4951,63.44,17.8485,0.433559
613,518,0.5335,0.09825,0.56,257.4,37.404,111.4,23.7647,0.496911
614,767,0.6945,0.01425,0.3975,0,0,0.72,0.54037,0
615,275,0.901,0.1085,0.6165,274.28,1.60997,0.24,0.536656,0.997382
616,480,0.895,0.1095,0.403,444.48,23.7283,12.08,9.08031,0.926
617,468,0.701,0.16975,0.673,424.44,34.6154,14.96,13.1434,0.906923
618,642,0.821,0.01925,0.542,0,0,0.08,0.109545,0
619,249,0.5855,0.063,0.308,243.84,6.02063,4,4.43396,0.979277
620,293,0.7385,0.0145,0.592,0,0,0.44,0.167332,0
621,556,0.9855,0.19125,0.749,521.96,38.764,8.56,8.08134,0.938777
622,414,0.9035,0.0015,0.559,0,0,193.04,7.34493,0
623,535,0.853,0.08175,0.6015,232.48,89.8921,63.64,26.7636,0.434542
624,665,0.91,0.03925,0.476,98.4,60.9201,40.52,13.5968,0.14797
625,558,0.532,0.00925,0.3985,0,0,7.76,0.766812,0
626,663,0.939,0.03725,0.622,9.6,19.1018,11.12,14.2595,0.0144796
627,774,0.832,0.169,0.327,752.52,19.424,4.88,4.98317,0.972248
628,721,0.868,0.12475,0.377,566.08,26.0195,26.28,6.22029,0.785132
629,380,0.7645,0.10025,0.3085,380,0,0,0,1
630,510,0.765,0.09625,0.71,233.16,83.7018,75.36,30.1564,0.457176
631,315,0.8965,0.07625,0.533,213.56,32.5289,41.2,13.2008,0.677968
632,657,0.8635,0.23875,0.728,635.12,20.0023,10.92,10.2182,0.966697
633,537,0.603,0.2255,0.564,515.8,18.2033,6.08,5.3937,0.960521
634,281,0.565,0.16875,0.4245,281,0,0,0,1
635,324,0.6605,0.2105,0.603,324,0,0,0,1
636,662,0.6775,0.117,0.5445,352.28,65.7983,72.72,26.6303,0.532145
637,595,0.7325,0.18325,0.6565,487.28,78.7247,30.68,21.534,0.818958
638,282,0.668,0.2195,0.5205,282,0,0,0,1
639,282,0.601,0.0455,0.7135,35.12,25.1939,37.84,30.9595,0.124539
640,645,0.9205,0.172,0.649,542.76,38.9701,17.8,12.1598,0.841488
641,544,0.712,0.0275,0.451,11.36,10.9311,22.12,15.8572,0.0208824
642,357,0.6085,0.03525,0.337,103.48,29.3004,95.04,5.05846,0.28986
643,353,0.8615,0.14875,0.561,353,0,0,0,1
644,746,0.839,0.1165,0.321,553.04,101.654,31.88,18.479,0.74134
645,260,0.529,0.2185,0.584,260,0,0,0,1
646,589,0.736,0.162,0.65,402.28,55.1909,51.64,16.363,0.682988
647,217,0.68,0.188,0.7175,217,0,0,0,1
648,311,0.9305,0.2315,0.382,311,0,0,0,1
649,264,0.7185,0.164,0.609,264,0,0,0,1
650,697,0.7555,0.18575,0.6355,462,117.407,48.56,19.0086,0.662841
651,323,0.855,0.00775,0.4855,0,0,7.92,1.2775,0
652,385,0.5385,0.12075,0.6675,191.64,26.4493,100.44,11.5364,0.497766
653,314,0.817,0.0825,0.4745,261.52,25.3667,21.72,9.66085,0.832866
654,408,0.745,0.0385,0.446,83.04,19.1507,87.12,12.0736,0.203529
655,579,0.553,0.24575,0.706,498.2,20.8355,24.4,19.0583,0.860449
656,200,0.693,0.0045,0.279,0,0,38.24,7.22966,0
657,675,0.7815,0.15575,0.493,467.8,77.9744,48.96,20.0671,0.693037
658,345,0.854,0.00675,0.325,0,0,11.84,1.0139,0
659,742,0.525,0.11325,0.324,421.08,63.3777,91.2,23.9286,0.567493
660,641,0.94,0.20225,0.7075,589.4,52.026,10.32,10.9083,0.919501
661,312,0.7245,0.24225,0.6815,312,0,0,0,1
662,338,0.727,0.00375,0.6215,0,0,81.12,3.4252,0
663,600,0.948,0.108,0.408,461.28,42.9866,29.68,9.26887,0.7688
664,426,0.502,0.0525,0.5045,105.64,25.5618,100.92,22.6166,0.247981
665,404,0.672,0.136,0.3795,404,0,0,0,1
666,365,0.6595,0.10675,0.61,240.32,47.0658,46.52,16.1757,0.658411
667,370,0.7685,0.04325,0.5735,71.32,38.3248,71.36,15.6904,0.192757
668,434,0.979,0.2165,0.677,434,0,0,0,1
669,467,0.637,0.04275,0.648,23.2,39.4649,23.6,28.6507,0.0496788
670,481,0.9585,0.21675,0.676,481,0,0,0,1
671,378,0.711,0.0605,0.284,289.52,14.2651,38.64,6.02395,0.765926
672,530,0.872,0.24175,0.585,530,0,0,0,1
673,618,0.7775,0.007,0.479,0,0,19.04,2.94754,0
674,299,0.8755,0.0785,0.2585,299,0,0,0,1
675,404,0.8705,0.179,0.722,404,0,0,0,1
676,420,0.747,0.08625,0.5115,223.32,48.7021,68.12,15.9628,0.531714
677,216,0.7215,0.01725,0.487,4.96,10.2053,6.04,6.38968,0.022963
678,795,0.908,0.069,0.6955,386.48,133.493,26.28,22.6789,0.486138
679,390,0.9085,0.00125,0.379,0,0,166.72,7.49213,0
680,258,0.9815,0.1725,0.5985,258,0,0,0,1
681,371,0.684,0.019,0.695,0,0,0.04,0.0894427,0
682,452,0.6265,0.153,0.587,357.08,22.3086,40.92,4.23934,0.79
683,732,0.794,0.15775,0.6735,469.56,77.8779,48.72,32.2148,0.641475
684,324,0.996,0.11075,0.6195,314.2,13.8246,3.08,4.24641,0.969753
685,566,0.623,0.16525,0.5385,441.68,39.1077,32.48,10.2719,0.780353
686,447,0.827,0.17775,0.4685,447,0,0,0,1
687,290,0.566,0.09275,0.5965,195.48,24.6713,59.36,21.699,0.674069
688,369,0.5775,0.03175,0.384,92.56,51.5444,83.28,35.7501,0.25084
689,287,0.725,0.04225,0.4305,118.4,24.7669,72.36,5.57387,0.412544
690,504,0.897,0.20525,0.575,504,0,0,0,1
691,782,0.9445,0.049,0.715,84.32,106.466,15.2,24.3471,0.107826
692,360,0.57,0.1505,0.5375,341.76,16.734,11.76,10.0274,0.949333
693,260,0.9075,0.1385,0.3545,260,0,0,0,1
694,413,0.9765,0.053,0.443,202,25.5308,57.28,11.8732,0.489104
695,745,0.6045,0.11875,0.551,307.4,121.139,95.76,25.4261,0.412617
696,215,0.8055,0.107,0.475,215,0,0,0,1
697,395,0.5175,0.0575,0.44,115.28,28.9294,112.16,23.9835,0.291848
698,233,0.583,0.15375,0.639,233,0,0,0,1
699,295,0.7635,0.131,0.5345,295,0,0,0,1
700,482,0.778,0.06175,0.4205,220.04,38.7477,71.96,15.2114,0.456515
701,213,0.917,0.05775,0.334,213,0,0,0,1
702,213,0.884,0.036,0.271,200.4,6.66333,9.32,4.4891,0.940845
703,662,0.6195,0.16375,0.727,423.28,148.865,64.8,40.1091,0.639396
704,238,0.658,0.01125,0.418,0,0,5.44,6.71029,0
705,588,0.551,0.014,0.52,0,0,0.96,0.669328,0
706,748,0.9335,0.16325,0.4655,629.04,32.2966,22.24,5.01677,0.840963
707,716,0.806,0.212,0.682,614,39.1638,22.8,7.80256,0.857542
708,348,0.8425,0.1925,0.5175,348,0,0,0,1
709,407,0.62,0.17425,0.3805,407,0,0,0,1
710,301,0.652,0.1975,0.544,301,0,0,0,1
711,691,0.64,0.037,0.4375,48.76,21.5872,67.8,15.4331,0.0705644
712,701,0.986,0.156,0.5665,606.84,43.5675,11.56,7.08858,0.865678
713,309,0.662,0.1245,0.7105,271.84,24.2971,22.84,17.2982,0.879741
714,628,0.999,0.047,0.686,64.84,53.3169,30.2,18.4461,0.103248
715,210,0.942,0.04175,0.574,89.68,12.9063,57.84,8.59581,0.427048
716,395,0.8215,0.12925,0.318,395,0,0,0,1
717,536,0.5435,0.184,0.6705,343,27.4911,82,12.4676,0.639925
718,329,0.6175,0.14725,0.468,329,0,0,0,1
719,655,0.943,0.018,0.4715,0,0,0.12,0.178885,0
720,587,0.6035,0.1755,0.356,574.36,21.9428,5.4,8.59186,0.978467
721,479,0.5525,0.07725,0.4085,215.32,31.77,87.32,16.1453,0.44952
722,294,0.8285,0.129,0.508,294,0,0,0,1
723,770,0.877,0.119,0.5575,371.4,73.9672,69.44,10.7791,0.482338
724,542,0.968,0.17025,0.744,489.64,43.4339,15.48,12.8683,0.903395
725,536,0.9165,0.04925,0.6055,125.24,85.3008,44.04,23.9772,0.233657
726,761,0.8575,0.215,0.6395,634.4,76.2112,29.04,21.4581,0.83364
727,276,0.878,0.16775,0.688,276,0,0,0,1
728,291,0.816,0.231,0.6855,291,0,0,0,1
729,731,0.6685,0.2435,0.4495,699.36,34.1896,6.92,8.57858,0.956717
730,584,0.69,0.0375,0.36,99.72,17.4778,97.88,6.4103,0.170753
731,719,0.651,0.0365,0.69,0,0,0,0,0
732,330,0.9995,0.08225,0.3475,329.88,0.268328,0.04,0.0894427,0.999636
733,515,0.7835,0.2125,0.6835,502.08,11.998,3,3.6,0.974913
734,421,0.764,0.01,0.646,0,0,4.48,0.687023,0
735,594,0.85,0.152,0.628,460.68,31.6814,34.28,10.9413,0.775556
736,258,0.7945,0.208,0.5935,258,0,0,0,1
737,679,0.8595,0.218,0.332,679,0,0,0,1
738,794,0.7125,0.1575,0.3365,649.84,41.1197,28,5.82924,0.818438
739,366,0.5965,0.24725,0.4265,366,0,0,0,1
740,609,0.954,0.05475,0.414,187.92,64.7284,82.96,16.4635,0.308571
741,222,0.5625,0.03225,0.42,65.28,10.4246,83.88,22.4253,0.294054
742,764,0.6015,0.074,0.712,264.6,158.127,58.12,49.1639,0.346335
743,438,0.975,0.24125,0.2505,438,0,0,0,1
744,384,0.5685,0.06075,0.7,105.96,85.7591,73.32,22.8896,0.275938
745,673,0.561,0.1615,0.294,631.12,9.02175,11.56,4.44387,0.937771
746,564,0.775,0.0135,0.464,0,0,0.68,0.363318,0
747,643,0.7355,0.055,0.5655,195.48,182.432,61.6,12.4555,0.304012
748,699,0.6905,0.027,0.2845,95.88,41.5395,87.28,27.2748,0.137167
749,335,0.559,0.0905,0.534,191.48,18.4995,71.32,6.27152,0.571582
750,755,0.886,0.03025,0.616,0,0,0,0,0
751,501,0.8255,0.088,0.4555,266.32,36.0354,67.24,12.3834,0.531577
752,327,0.6615,0.23375,0.3865,327,0,0,0,1
753,722,0.9575,0.207,0.6505,620.6,77.9614,16.44,13.8776,0.859557
754,288,0.947,0.199,0.375,288,0,0,0,1
755,348,0.5245,0.24925,0.3155,348,0,0,0,1
756,725,0.752,0.0565,0.675,114.4,119.883,43.24,37.2978,0.157793
757,522,0.903,0.05675,0.6435,182.4,100.684,49.44,18.4756,0.349425
758,773,0.8515,0.0305,0.426,53.84,93.0954,21.72,21.082,0.0696507
759,447,0.915,0.1295,0.578,395.8,35.0594,15,10.1518,0.885459
760,433,0.614,0.10225,0.66,218.8,44.5616,85.68,32.7569,0.505312
761,749,0.6435,0.12525,0.473,398.76,110.214,83.08,32.8568,0.53239
762,283,0.813,0.1105,0.2625,283,0,0,0,1
763,656,0.538,0.232,0.614,532.28,81.7998,38.44,30.7696,0.811402
764,206,0.687,0.07675,0.6075,178.12,17.1141,20.12,9.73612,0.86466
765,590,0.563,0.01525,0.372,0,0,0.52,0.363318,0
766,532,0.8155,0.159,0.292,532,0,0,0,1
767,227,0.9755,0.0975,0.661,225.52,3.30938,0.72,1.60997,0.99348
768,612,0.9315,0.16575,0.4845,589,9.19891,5.2,1.3784,0.962418
769,209,0.66,0.16725,0.3015,209,0,0,0,1
