sample,nr,dr,df,rf,avg_prey,std_prey,avg_predators,std_predators
130,267.4,1.115,0.1667,0.5976,0,0,268,0
131,762.4,1.076,0.1058,0.356,37.4,2.82843,539.325,14.4603
132,281.8,1.769,0.1529,0.528,0,0,282,0
133,379,1.064,0.1571,0.5872,0,0,379,0
134,677.8,1.349,0.1037,0.348,26.175,2.22739,533.225,23.7941
135,656.2,1.517,0.0749,0.5656,57.35,14.0714,309.2,24.2538
136,982,0.971,0.0836,0.4624,79.925,2.58094,323.775,93.0906
137,460,1.529,0.1853,0.556,0,0,460,0
138,325,0.575,0.1748,0.668,2.15,0.282843,314.225,11.6319
139,366.4,0.554,0.1154,0.672,71.625,17.1473,221.575,35.3907
140,688.6,1.538,0.1451,0.4968,21,9.12168,576.95,52.6087
141,514,1.208,0.1202,0.3784,0.775,0.388909,511.3,1.27279
142,872.2,0.707,0.0881,0.6088,92,17.7484,299.1,19.2333
143,370,0.71,0.0941,0.3648,7.25,0.424264,354.45,1.06066
144,685,0.986,0.1247,0.6992,33.775,1.94454,457.15,11.3137
145,497.8,1.319,0.0539,0.3808,62.725,4.63155,235.625,28.1782
146,551.8,1.853,0.1823,0.4864,0.075,0.106066,551.875,0.176777
147,933.4,1.253,0.0737,0.4024,76.025,2.93449,344.45,24.1831
148,235,0.917,0.1232,0.4592,0,0,235,0
149,242.2,1.865,0.0536,0.4136,13.475,3.78302,217.25,3.9598
150,883,0.632,0.1049,0.6632,84.05,6.43467,398.775,129.931
151,703,1.556,0.0599,0.4224,73.175,0.601041,221.875,6.47003
152,254.8,1.061,0.0515,0.328,4.35,0.0707107,239.65,9.75807
153,463.6,1.187,0.0803,0.6136,41.95,4.45477,296.85,11.1723
154,341.2,1.484,0.0794,0.3608,1.6,1.3435,337.675,4.20729
155,571.6,0.779,0.0773,0.5256,74.05,12.8693,252.725,21.0364
156,204.4,0.908,0.1454,0.5664,0,0,208.95,1.41421
157,690.4,0.62,0.0563,0.344,111.425,6.89429,180.125,6.82358
158,861.4,1.469,0.1739,0.4216,11.675,2.65165,749.175,67.2812
159,184.6,0.764,0.0788,0.3136,0,0,185.025,0.0353553
160,105.4,1.976,0.0977,0.3336,0,0,174.025,6.2579
161,258.4,1.931,0.0938,0.6296,4.55,2.96985,249.175,9.29845
162,807.4,1.916,0.0908,0.4208,55.275,3.6416,397.05,53.8108
163,694,0.902,0.0734,0.628,46.925,22.6628,350.5,82.8729
164,755.2,1.634,0.0887,0.3688,55.175,7.74282,418.55,43.2042
165,947.8,1.766,0.1238,0.5864,66.825,10.5005,439.225,78.2414
166,663.4,1.532,0.1439,0.6656,25.825,3.78302,504.525,29.1682
167,528.4,0.617,0.1478,0.6416,53.8,2.89914,365,0.494975
168,701.2,1.724,0.1142,0.3344,15.225,2.72236,617.625,17.8544
169,424,1.043,0.1415,0.68,5.6,0.707107,407.15,2.89914
170,962.2,0.533,0.1004,0.4056,133.925,12.339,287.1,6.85894
171,303.4,1.04,0.0596,0.4984,43.4,2.68701,186.7,4.52548
172,523,0.737,0.1226,0.6736,54.15,0.565685,330.35,3.11127
173,532,0.509,0.1112,0.3528,67.025,8.37922,356.075,19.4101
174,161.2,1.172,0.1211,0.3736,0,0,198.425,12.0562
175,899.2,1.676,0.1007,0.5136,48.125,3.07591,471.775,8.02566
176,287.2,1.757,0.0698,0.6744,31.925,9.15703,210.7,15.1321
177,290.8,1.814,0.0962,0.5984,5.725,0.459619,279.475,0.601041
178,980.2,1.937,0.056,0.5712,38.475,8.80348,346.875,26.4811
179,109,0.518,0.1121,0.3144,0,0,172.925,5.55079
180,602.2,1.274,0.1397,0.54,18.825,0.742462,497.425,3.42947
181,218.8,0.821,0.1724,0.5096,0,0,230.4,6.15183
182,812.8,1.553,0.1937,0.4376,2.75,2.33345,796.725,6.54074
183,202.6,1.004,0.146,0.3568,0,0,262.3,12.3744
184,262,1.706,0.1532,0.5608,0,0,255.95,9.97021
185,335.8,1.667,0.1499,0.5832,0,0,336,0
186,530.2,1.748,0.1436,0.5896,7.85,3.67696,489.125,31.3602
187,935.2,1.424,0.0659,0.564,55,0.565685,390.075,9.29845
188,276.4,1.97,0.1109,0.432,0,0,277,0
189,609.4,1.673,0.1274,0.6896,34.625,7.24784,416.875,28.3903
190,776.8,1.826,0.1433,0.4104,23.375,1.80312,651.3,8.20244
191,847,0.623,0.1334,0.3376,86.375,5.12652,440.55,21.496
192,136,0.989,0.1391,0.416,0,0,208.35,1.20208
193,919,0.926,0.0713,0.46,84.5,1.06066,247.875,0.883883
194,278.2,1.55,0.0584,0.4928,27.1,1.83848,207.025,8.9449
195,402.4,0.959,0.0722,0.3848,27.75,2.47487,322.25,2.47487
196,789.4,1.733,0.14,0.6032,27.775,10.7834,582.225,86.5852
197,470.8,1.772,0.1958,0.5648,0,0,471,0
198,208,0.866,0.167,0.5352,0,0,217.3,3.3234
199,587.8,1.646,0.1145,0.4872,31.85,0.919239,439.925,10.642
200,683.2,0.89,0.149,0.5184,22.475,0.106066,553.425,0.106066
201,578.8,0.839,0.1364,0.5008,32.75,6.71751,442.375,8.02566
202,681.4,1.409,0.0761,0.6224,65.1,7.00036,238.375,24.7134
203,488.8,1.094,0.1214,0.6016,18.725,5.83363,423.2,4.94975
204,562.6,1.961,0.1235,0.3832,5.45,0.848528,539.9,1.83848
205,821.8,1.385,0.1151,0.584,41.825,5.55079,528.4,6.15183
206,352,1.34,0.116,0.4648,0,0,352,0
207,906.4,1.001,0.1424,0.684,46.825,21.8142,580.575,132.901
208,418.6,0.599,0.176,0.3944,0,0,419,0
209,697.6,0.905,0.1688,0.5624,28.7,11.8794,535.175,79.0899
210,857.8,1.562,0.0608,0.3392,70.05,1.55563,316.875,0.742462
211,874,0.692,0.0821,0.3072,92.425,14.1775,350.25,3.53553
212,163,0.878,0.1826,0.608,0,0,186.15,13.5057
213,238.6,1.238,0.1001,0.5592,0,0,239,0
214,564.4,0.893,0.1268,0.6392,43.95,2.26274,376.7,54.1644
215,787.6,0.542,0.1904,0.6008,99.725,1.44957,426.175,7.53069
216,409.6,1.616,0.1406,0.6672,14.925,0.883883,369.425,5.6215
217,820,1.364,0.1928,0.6056,20.65,4.03051,685.525,3.21734
218,987.4,0.938,0.0527,0.324,76,10.4652,250.875,8.02566
219,222.4,0.749,0.1046,0.5888,1.475,0.459619,220.525,1.44957
220,260.2,1.868,0.0965,0.4952,0,0,261,0
221,731.8,1.652,0.1895,0.3456,0,0,732,0
222,364.6,1.241,0.08,0.4856,22.075,0.459619,303.125,7.24784
223,496,1.7,0.1772,0.5696,0,0,496,0
224,679.6,0.539,0.1085,0.6928,88.475,20.3293,272.075,64.877
225,119.8,0.818,0.0986,0.3824,0,0,143.15,5.3033
226,371.8,0.569,0.1244,0.6752,58.15,11.5966,245.625,1.0253
227,542.8,1.286,0.0701,0.4472,64.85,5.3033,236.075,4.63155
228,823.6,0.869,0.1736,0.3288,1.075,0.0353553,815.5,0.141421
229,524.8,0.593,0.1265,0.6384,84.75,3.74767,275.525,11.6319
230,814.6,1.787,0.1535,0.6616,39,2.68701,560.55,10.3238
231,580.6,1.523,0.1019,0.3536,14.15,4.87904,515.225,19.5515
232,431.2,1.058,0.1376,0.3632,0,0,432,0
233,650.8,1.307,0.0854,0.5744,55.225,12.339,316.825,85.8781
234,272.8,1.361,0.1403,0.696,0,0,273,0
235,758.8,0.659,0.1982,0.436,42.575,10.5005,589.9,52.6087
236,555.4,1.157,0.0548,0.464,68.4,1.13137,192.9,24.1831
237,566.2,1.1,0.1865,0.552,2.1,2.96985,556.225,15.026
238,404.2,1.067,0.0719,0.5528,32.85,8.13173,259.675,4.70226
239,629.2,1.457,0.0758,0.428,63.6,5.51543,276.75,8.34386
240,146.8,1.991,0.1352,0.4552,0,0,175.8,11.5258
241,748,1.205,0.0833,0.5952,69.65,6.85894,334.5,43.5578
242,931.6,1.505,0.0557,0.5488,70.4,11.738,333.15,62.1547
243,848.8,1.31,0.182,0.4296,3.175,1.30815,824.875,2.65165
244,445.6,1.112,0.1292,0.5416,3.3,1.48492,420.4,25.5973
245,856,1.751,0.0968,0.524,52.625,0.954594,415.2,1.62635
246,416.8,0.887,0.1448,0.4736,0,0,406.575,14.7432
247,213.4,0.833,0.1544,0.6,0,0,214.55,0.777817
248,519.4,1.304,0.0581,0.4344,64.95,0.707107,240.975,15.7331
